SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
DUSP4,1846,dual specificity phosphatase 4,1.401207064,6.038277051,3.040436503,0.003711251,0.015787918,-2.304621852
MEGF9,1955,multiple EGF like domains 9,-1.469580736,6.416507882,-3.295178979,0.001786033,0.009240798,-1.633126202
EGR1,1958,early growth response 1,-2.110167832,8.887114233,-4.658878719,2.28E-05,0.000354461,2.463208869
EIF4A2,1974,eukaryotic translation initiation factor 4A2,1.077411875,5.941568077,2.80250071,0.007133265,0.025757493,-2.897875947
EMP1,2012,epithelial membrane protein 1,1.792467223,6.497847227,3.251933684,0.002026598,0.010036992,-1.749626412
EMP3,2014,epithelial membrane protein 3,1.417715102,8.828781815,4.359848966,6.26E-05,0.000736274,1.506100041
ENO2,2026,enolase 2,-1.114910351,6.089207927,-4.702088085,1.97E-05,0.000314203,2.603619836
EPB41,2035,erythrocyte membrane protein band 4.1,-1.324665561,7.4374891,-5.375477034,1.88E-06,6.14E-05,4.847560568
EPS15,2060,epidermal growth factor receptor pathway substrate 15,-1.229458442,8.420815203,-5.053406027,5.84E-06,0.000127843,3.76239602
ESRRG,2104,estrogen related receptor gamma,1.2976283,4.894057577,4.21760601,0.000100242,0.001034058,1.060649574
ETFDH,2110,electron transfer flavoprotein dehydrogenase,-1.350810873,5.502155807,-5.161135335,4.00E-06,9.97E-05,4.123201022
FABP4,2167,fatty acid binding protein 4,-1.359780572,3.889183876,-2.763479499,0.00791711,0.027715776,-2.991841965
BPTF,2186,bromodomain PHD finger transcription factor,-1.198577801,6.540792861,-5.359011089,1.99E-06,6.29E-05,4.791631744
FBN1,2200,fibrillin 1,-1.195546469,4.674504975,-3.060106232,0.003511473,0.015185185,-2.254070524
FLNB,2317,filamin B,-1.171396969,5.828658197,-4.55567683,3.24E-05,0.00045908,2.12992204
FLT3,2322,fms related tyrosine kinase 3,-1.16476939,4.447401959,-3.032023614,0.003799904,0.016092301,-2.326174584
FMO2,2327,flavin containing dimethylaniline monoxygenase 2,-1.287980062,4.193979993,-5.351512508,2.04E-06,6.29E-05,4.766176601
FUT8,2530,fucosyltransferase 8,-1.328217024,8.26649705,-2.987192171,0.004306658,0.017687181,-2.440329403
IFI6,2537,interferon alpha inducible protein 6,2.595479519,9.286050662,3.802145831,0.000381938,0.002889093,-0.198168077
GAPDH,2597,glyceraldehyde-3-phosphate dehydrogenase,1.042169314,12.15175738,4.880540815,1.07E-05,0.000198232,3.188586475
GBP2,2634,guanylate binding protein 2,1.903484857,5.688562888,3.974728264,0.000220709,0.001892616,0.316602622
GFPT1,2673,glutamine--fructose-6-phosphate transaminase 1,-1.464121347,8.498713697,-5.086804957,5.20E-06,0.00011757,3.874004422
B4GALT1,2683,beta-1 4-galactosyltransferase 1,-1.200841798,8.595059526,-3.142839155,0.002776453,0.012609279,-2.03902434
GCLC,2729,glutamate-cysteine ligase catalytic subunit,-1.02131377,6.458750623,-3.600398244,0.000714787,0.004690475,-0.783768992
GLDC,2731,glycine decarboxylase,-1.091657261,6.034741409,-3.278093222,0.001877659,0.009540372,-1.679273046
GOLGA4,2803,golgin A4,-1.272513756,6.985579198,-4.527009772,3.57E-05,0.000492347,2.03787983
GPD2,2820,glycerol-3-phosphate dehydrogenase 2,-1.998798888,5.254369697,-7.175626553,2.75E-09,7.20E-07,11.11352122
GPR37,2861,G protein-coupled receptor 37,1.024069609,5.64105693,3.054253592,0.003569838,0.015395133,-2.269135212
H1-2,3006,H1.2 linker histone  cluster member,1.163480411,7.846505364,3.247078769,0.002055439,0.010115942,-1.762642918
H1-5,3009,H1.5 linker histone  cluster member,-1.265576159,7.947505739,-2.520870205,0.014849093,0.044190374,-3.553809607
H2BC5,3017,H2B clustered histone 5,1.215188668,6.762892085,4.240395347,9.30E-05,0.000983364,1.131557288
HDAC2,3066,histone deacetylase 2,-1.387186662,6.620661387,-4.730608273,1.79E-05,0.000294963,2.696568375
HGF,3082,hepatocyte growth factor,2.211937801,6.450072717,3.823770962,0.000356787,0.002747437,-0.134340628
HINT1,3094,histidine triad nucleotide binding protein 1,1.511126596,9.035672002,6.143934137,1.19E-07,8.50E-06,7.497174503
HNRNPU,3192,heterogeneous nuclear ribonucleoprotein U,1.016350261,5.402646259,3.697324868,0.000530009,0.003744282,-0.504691979
HSD17B4,3295,hydroxysteroid 17-beta dehydrogenase 4,-1.530665803,6.559737879,-3.610118689,0.000693785,0.004559018,-0.755975747
IDE,3416,insulin degrading enzyme,-1.245514441,7.272272614,-4.874446856,1.09E-05,0.000200869,3.168481808
IDH1,3417,isocitrate dehydrogenase (NADP(+)) 1,-1.377454128,6.317345516,-4.484648396,4.12E-05,0.000540638,1.902311091
IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,1.589134401,5.42876486,2.980475668,0.004387801,0.017951829,-2.457329823
IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,1.662405428,6.162886993,2.840186386,0.006444897,0.023839027,-2.806216131
IGF1,3479,insulin like growth factor 1,1.702219485,7.583225659,4.520463275,3.65E-05,0.000492398,2.016894437
IGFBP5,3488,insulin like growth factor binding protein 5,-1.217641706,4.969315031,-3.447108738,0.001137989,0.006643369,-1.216122788
IGH,3492,immunoglobulin heavy locus,-3.622723049,10.37186284,-5.67066173,6.55E-07,2.96E-05,5.857121919
IGHA1,3493,immunoglobulin heavy constant alpha 1,-2.410109388,11.68068226,-3.39670988,0.001323043,0.007428305,-1.35575905
IGKC,3514,immunoglobulin kappa constant,-4.829191519,8.710964229,-5.361992944,1.97E-06,6.29E-05,4.801756716
IL1RN,3557,interleukin 1 receptor antagonist,1.232849883,6.140765592,3.084700277,0.003275842,0.01439107,-2.190550268
IL2RG,3561,interleukin 2 receptor subunit gamma,-1.196234913,9.507124702,-2.789208364,0.007391848,0.026307599,-2.929993161
IL7R,3575,interleukin 7 receptor,-1.097157141,4.518929825,-2.470228308,0.016859162,0.049055261,-3.666108749
CXCL8,3576,C-X-C motif chemokine ligand 8,2.293574913,8.416213517,4.439622706,4.79E-05,0.000604853,1.758807132
IL16,3603,interleukin 16,-1.097527727,6.607029124,-4.536481267,3.46E-05,0.000480223,2.068263799
IMPDH2,3615,inosine monophosphate dehydrogenase 2,1.013456291,8.039271815,2.740757573,0.008409373,0.028922589,-3.046111708
INPP4A,3631,inositol polyphosphate-4-phosphatase type I A,-1.375270884,7.689391971,-4.473719786,4.28E-05,0.000556321,1.867423317
INPP5D,3635,inositol polyphosphate-5-phosphatase D,-1.245169831,6.65052829,-3.913113885,0.000268775,0.002172832,0.131428111
IPP,3652,intracisternal A particle-promoted polypeptide,-1.305549531,5.078568645,-5.591100116,8.71E-07,3.57E-05,5.583808513
ITGA6,3655,integrin subunit alpha 6,-1.976801093,8.056404669,-3.802475221,0.000381542,0.002889093,-0.197197358
IRF1,3659,interferon regulatory factor 1,1.539503121,9.005462589,4.266512033,8.53E-05,0.000920672,1.213037152
IRF2,3660,interferon regulatory factor 2,-1.826822336,7.034008973,-7.262704192,2.00E-09,5.55E-07,11.4189895
KCNA3,3738,potassium voltage-gated channel subfamily A member 3,-2.57228103,8.174481326,-7.810397359,2.73E-10,1.61E-07,13.33407785
KCNS3,3790,potassium voltage-gated channel modifier subfamily S member 3,1.441468597,6.05350057,2.657456301,0.010464759,0.033677628,-3.24221703
KPNB1,3837,karyopherin subunit beta 1,-1.067212132,7.622422011,-4.951281025,8.34E-06,0.000170033,3.422597003
KPNA2,3838,karyopherin subunit alpha 2,1.101590436,8.700516364,4.085403294,0.00015441,0.001432938,0.652939133
KTN1,3895,kinectin 1,-1.020986151,6.595972807,-3.826318139,0.000353932,0.002729918,-0.126809505
LBR,3930,lamin B receptor,-1.145504983,7.819429307,-3.085551065,0.003267962,0.014369871,-2.188346699
LDHA,3939,lactate dehydrogenase A,1.214062453,10.486103,4.321512124,7.11E-05,0.000815458,1.385380639
LMNA,4000,lamin A/C,1.465828111,8.140782537,3.480703379,0.001028609,0.00619743,-1.122342296
LPL,4023,lipoprotein lipase,-1.445965826,5.098989173,-3.792046245,0.00039426,0.002958518,-0.22790928
LSAMP,4045,limbic system associated membrane protein,1.414806068,6.214697814,3.252853733,0.002021175,0.010036992,-1.747158245
MAN1A1,4121,mannosidase alpha class 1A member 1,-1.528606425,9.528294994,-4.503106544,3.87E-05,0.000516792,1.961317031
ME2,4200,malic enzyme 2,-1.118929477,7.970687425,-3.140193545,0.002797531,0.012668318,-2.045960871
MEF2C,4208,myocyte enhancer factor 2C,-1.214982224,9.369976898,-3.588173134,0.000742064,0.004815738,-0.818661202
MGST3,4259,microsomal glutathione S-transferase 3,1.246357082,8.116679089,4.483532108,4.14E-05,0.000540638,1.898745879
CD99,4267,CD99 molecule (Xg blood group),-1.711021462,6.481001511,-3.045961591,0.003654087,0.015643746,-2.290444944
ATXN3,4287,ataxin 3,-1.273827949,5.295705926,-4.597684434,2.81E-05,0.000414709,2.265224009
MNDA,4332,myeloid cell nuclear differentiation antigen,-1.788506094,6.019100908,-2.794255993,0.007292651,0.026072891,-2.917810113
MSH2,4436,mutS homolog 2,-1.548509098,3.996416018,-6.850485311,9.03E-09,1.33E-06,9.971982184
MYB,4602,MYB proto-oncogene  transcription factor,-1.271107206,5.183175727,-3.177006589,0.002517319,0.011703545,-1.949090452
MYC,4609,MYC proto-oncogene  bHLH transcription factor,1.022880816,9.211616652,2.717118815,0.008951276,0.030212161,-3.102219345
GADD45B,4616,growth arrest and DNA damage inducible beta,2.130788859,9.342827223,5.165606569,3.94E-06,9.87E-05,4.138225685
MYO1D,4642,myosin ID,-1.153410266,7.683762251,-3.411273518,0.001266822,0.00721524,-1.315539827
MYO5A,4644,myosin VA,-1.081978371,7.057417627,-3.530079472,0.000885853,0.005523051,-0.983506043
NCAM1,4684,neural cell adhesion molecule 1,2.111505567,6.897137814,2.79238342,0.007329307,0.026164181,-2.922331667
NDUFA4,4697,NDUFA4 mitochondrial complex associated,1.035832728,8.155466947,4.214991639,0.000101107,0.001038665,1.052526615
NEB,4703,nebulin,1.553518672,5.596033438,2.79732184,0.007233003,0.02598172,-2.910402479
NFKBIA,4792,NFKB inhibitor alpha,1.310765409,11.29541577,4.317437984,7.21E-05,0.000823099,1.372579776
NFX1,4799,nuclear transcription factor  X-box binding 1,-1.257681184,7.683484361,-4.746941335,1.69E-05,0.000279875,2.749893752
NINJ1,4814,ninjurin 1,1.020202044,8.355048972,4.314992077,7.27E-05,0.000827799,1.364897413
NT5E,4907,5'-nucleotidase ecto,-1.077283222,3.742042387,-3.243390125,0.00207761,0.01018749,-1.772524068
NUCB2,4925,nucleobindin 2,-1.233689711,9.907966899,-3.955928363,0.000234418,0.001973052,0.259941649
P4HA1,5033,prolyl 4-hydroxylase subunit alpha 1,-1.267663021,7.995825771,-2.944855517,0.004842488,0.01939056,-2.54704113
PAK2,5062,p21 (RAC1) activated kinase 2,-1.124325283,6.85245827,-3.435967183,0.001176646,0.006817881,-1.247101379
PARN,5073,poly(A)-specific ribonuclease,-1.163930769,7.214456741,-5.124498241,4.55E-06,0.000107677,4.000236157
PDE7A,5150,phosphodiesterase 7A,-1.563617704,5.193635169,-6.261494503,7.73E-08,6.22E-06,7.907456715
PDHA1,5160,pyruvate dehydrogenase E1 alpha 1 subunit,-1.030203013,7.213417934,-3.989778456,0.000210295,0.001823782,0.36206249
PDK1,5163,pyruvate dehydrogenase kinase 1,-1.898310597,9.495660294,-5.335997651,2.16E-06,6.47E-05,4.713538651
PGM3,5238,phosphoglucomutase 3,-1.060270759,7.411274117,-3.256590077,0.001999295,0.009985864,-1.737130281
PHKB,5257,phosphorylase kinase regulatory subunit beta,-1.186257265,7.001177302,-4.428803173,4.97E-05,0.000623744,1.724416099
SERPINI1,5274,serpin family I member 1,1.637126031,5.878198694,2.741393775,0.008395215,0.028899628,-3.044596684
PIK3C2A,5286,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,-1.071306523,6.881181956,-3.688066798,0.000545458,0.003830414,-0.531532463
PIP4K2A,5305,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,-1.521282671,7.211637395,-3.888552201,0.000290627,0.002317628,0.058036671
PLCG2,5336,phospholipase C gamma 2,-1.204653614,7.879773081,-3.6824163,0.000555098,0.00387874,-0.547895196
POLH,5429,DNA polymerase eta,-1.047714978,5.66029239,-5.061285143,5.68E-06,0.000125953,3.788704675
MED1,5469,mediator complex subunit 1,-1.009203867,6.623250115,-4.548556158,3.32E-05,0.00046791,2.107037205
PRIM1,5557,DNA primase subunit 1,-1.079402165,5.926906675,-3.77563047,0.000415107,0.003080565,-0.276157115
PRKAR2B,5577,protein kinase cAMP-dependent type II regulatory subunit beta,-1.066915428,5.825841976,-2.804201208,0.007100794,0.025730399,-2.893759137
MAPK6,5597,mitogen-activated protein kinase 6,1.13432715,7.157935932,3.171145091,0.002560093,0.011878934,-1.964564827
DNAJC3,5611,DnaJ heat shock protein family (Hsp40) member C3,-1.409010252,8.925109697,-4.768387922,1.57E-05,0.000264662,2.820017993
LGMN,5641,legumain,-1.340472842,8.264721558,-2.536729736,0.014265827,0.042828194,-3.518277299
PSMB8,5696,proteasome 20S subunit beta 8,1.253677217,7.621130516,5.300954073,2.45E-06,6.97E-05,4.594794674
PSMC6,5706,proteasome 26S subunit  ATPase 6,-1.068644006,5.576681869,-3.554721036,0.000821882,0.00521153,-0.913779409
ABCD3,5825,ATP binding cassette subfamily D member 3,-1.534195935,5.472987477,-4.815682712,1.33E-05,0.000235009,2.975067783
ALDH18A1,5832,aldehyde dehydrogenase 18 family member A1,-1.1925214,7.730219188,-3.841245043,0.000337636,0.002630098,-0.082620971
RAB5B,5869,RAB5B  member RAS oncogene family,-1.172844114,7.056131462,-4.898541826,1.00E-05,0.000192333,3.248024774
RAD17,5884,RAD17 checkpoint clamp loader component,-1.336348762,6.666743569,-4.130325309,0.000133412,0.001281028,0.790769759
RAP2A,5911,RAP2A  member of RAS oncogene family,-1.042450052,6.514390584,-3.803087422,0.000380808,0.002889093,-0.195393068
RASA1,5921,RAS p21 protein activator 1,-1.329132619,6.442678706,-4.406677196,5.35E-05,0.000659395,1.654199594
RB1,5925,RB transcriptional corepressor 1,-2.406657618,7.545914899,-5.152973678,4.12E-06,0.00010046,4.095785413
RBBP4,5928,RB binding protein 4 chromatin remodeling factor,-1.15440866,8.872372072,-4.622734588,2.58E-05,0.000391967,2.346144859
RBL2,5934,RB transcriptional corepressor like 2,-1.033847936,6.840591516,-3.293659579,0.001794007,0.009243399,-1.637236199
RFC1,5981,replication factor C subunit 1,-1.508938705,7.18963752,-5.540495225,1.04E-06,3.99E-05,5.410407615
RIT1,6016,Ras like without CAAX 1,1.431743628,7.777973011,4.320979367,7.12E-05,0.000815458,1.383706419
RNASE6,6039,ribonuclease A family member k6,-2.187533549,5.62780014,-3.713258653,0.000504398,0.003590307,-0.458408085
RPL22,6146,ribosomal protein L22,1.069594054,5.557677689,3.275223008,0.00189348,0.009600027,-1.687010009
RPL24,6152,ribosomal protein L24,1.406340498,10.80402944,5.732850524,5.24E-07,2.51E-05,6.071307697
RPLP2,6181,ribosomal protein lateral stalk subunit P2,1.368593031,11.4875713,6.025268348,1.82E-07,1.17E-05,7.08402028
RPS5,6193,ribosomal protein S5,1.515377195,9.99998889,5.253219682,2.89E-06,7.97E-05,4.433391673
RPS13,6207,ribosomal protein S13,1.281244969,11.0480645,5.422850694,1.59E-06,5.42E-05,5.008715938
RPS17,6218,ribosomal protein S17,1.336182516,11.72110362,7.338758657,1.52E-09,4.47E-07,11.68562926
RPS19,6223,ribosomal protein S19,1.579008721,10.44782503,6.962902476,5.99E-09,1.13E-06,10.36674777
SCNN1B,6338,sodium channel epithelial 1 beta subunit,-1.242740848,6.530034045,-4.237177893,9.40E-05,0.000989278,1.121535499
CCL3,6348,C-C motif chemokine ligand 3,2.731891138,8.771632711,3.622132881,0.000668642,0.004430929,-0.721563539
CXCL12,6387,C-X-C motif chemokine ligand 12,-2.722019779,7.431824292,-4.015903286,0.000193336,0.001716314,0.44118325
SDHD,6392,succinate dehydrogenase complex subunit D,1.052810223,8.21007559,4.397487915,5.52E-05,0.000672923,1.625082594
SEC14L1,6397,SEC14 like lipid binding 1,-1.236677957,8.146335742,-5.639850236,7.31E-07,3.19E-05,5.751179982
SEL1L,6400,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,-1.220634049,10.12625633,-3.26003317,0.001979331,0.009907182,-1.727882756
SGK1,6446,serum/glucocorticoid regulated kinase 1,1.945067272,7.189494498,5.525741232,1.10E-06,4.14E-05,5.359919374
ST6GAL1,6480,ST6 beta-galactoside alpha-2 6-sialyltransferase 1,-1.041347831,10.4340202,-3.165329128,0.00260321,0.012031536,-1.979900203
SKP1,6500,S-phase kinase associated protein 1,1.014939966,8.360234096,4.122456903,0.000136878,0.001302195,0.766574263
SLC3A2,6520,solute carrier family 3 member 2,1.175087959,9.608590679,4.582763607,2.96E-05,0.000432241,2.217108159
SLC5A3,6526,solute carrier family 5 member 3,-1.20382515,6.548875414,-3.410497451,0.001269759,0.00721524,-1.31768573
SLC15A2,6565,solute carrier family 15 member 2,-1.732694961,4.72737966,-5.879173778,3.09E-07,1.69E-05,6.576995114
HLTF,6596,helicase like transcription factor,-1.164024797,5.626422074,-2.804038946,0.007103887,0.025730399,-2.894152044
SNRPE,6635,small nuclear ribonucleoprotein polypeptide E,2.010088866,7.844967872,6.304858292,6.61E-08,5.47E-06,8.059006648
SOD2,6648,superoxide dismutase 2,1.266388455,8.521492713,3.360398333,0.001473718,0.008034579,-1.455568103
SOS1,6654,SOS Ras/Rac guanine nucleotide exchange factor 1,-1.671688338,6.913752121,-4.988935955,7.32E-06,0.000155049,3.54762195
SOS2,6655,SOS Ras/Rho guanine nucleotide exchange factor 2,-1.045877018,7.016268715,-2.769455267,0.007792133,0.02735969,-2.977514499
SRP54,6729,signal recognition particle 54,-1.807356651,7.710758428,-5.881915496,3.06E-07,1.69E-05,6.586491874
CDKL5,6792,cyclin dependent kinase like 5,-1.257567284,5.057637713,-5.308050187,2.38E-06,6.88E-05,4.618822633
STXBP3,6814,syntaxin binding protein 3,-1.070471021,6.553208802,-3.190166575,0.002423724,0.011392229,-1.914279023
SYK,6850,spleen associated tyrosine kinase,-1.391026351,7.011910692,-3.529924211,0.000886271,0.005523051,-0.983944455
SYT1,6857,synaptotagmin 1,1.204142891,5.269890491,2.580201343,0.012772186,0.039353723,-3.420002299
TBP,6908,TATA-box binding protein,-1.095223291,6.073382951,-5.209383387,3.38E-06,8.78E-05,4.285529902
TERC,7012,telomerase RNA component,1.501495477,7.417566914,4.521537178,3.64E-05,0.000492398,2.020336067
TERF1,7013,telomeric repeat binding factor 1,-1.151595713,6.800010844,-4.197711531,0.000107013,0.001085124,0.998896599
